File: text.txt
guy 5
bad 5
son 5
boy 5
bye 5
pollination 4
experience 4
montgomery 4
actually 4
working 4
stirrer 4
through 4
wearing 4
they've 4
amazing 4
resume 4
coffee 4
taking 4
entire 4
before 4
trying 4
always 4
window 4
aren't 4
parade 4
living 4
behind 4
yogurt 4
we've 4
watch 4
means 4
one's 4
being 4
stand 4
knows 4
again 4
sweet 4
other 4
lives 4
stuff 4
lucky 4
makes 4
honex 4
bugs 4
days 4
even 4
must 4
late 4
tell 4
fine 4
step 4
told 4
real 4
shut 4
kind 4
also 4
jobs 4
side 4
knew 4
pea 4
law 4
man 4
sit 4
own 4
hi 4
congratulations 3
affirmative 3
understand 3
difference 3
production 3
shouldn't 3
sometimes 3
afternoon 3
available 3
gentlemen 3
stirring 3
supposed 3
allergic 3
everyone 3
stealing 3
together 3
brochure 3
wouldn't 3
whatever 3
pasadena 3
horrible 3
yearning 3
million 3
welcome 3
helping 3
forward 3
friends 3
against 3
cousins 3
outside 3
captain 3
parents 3
careful 3
problem 3
liotta 3
better 3
matter 3
moment 3
having 3
fellow 3
choice 3
afraid 3
wonder 3
during 3
bloome 3
bottom 3
bumble 3
demand 3
insane 3
longer 3
decide 3
thanks 3
second 3
nature 3
friend 3
here's 3
smoker 3
nobody 3
blood 3
throw 3
woman 3
quite 3
won't 3
smell 3
hours 3
happy 3
water 3
point 3
smack 3
stick 3
bears 3
money 3
float 3
value 3
stung 3
trial 3
takes 3
worse 3
looks 3
girls 3
scary 3
hover 3
place 3
power 3
proud 3
fault 3
legs 3
left 3
hang 3
area 3
less 3
park 3
mind 3
fuzz 3
jury 3
hope 3
able 3
cups 3
stay 3
face 3
fake 3
we'd 3
yell 3
ours 3
girl 3
show 3
news 3
race 3
keep 3
boys 3
hurt 3
jock 3
food 3
joke 3
heat 3
head 3
pull 3
desk 3
goes 3
york 3
gun 3
yet 3
her 3
dad 3
hit 3
hot 3
may 3
its 3
saw 3
bob 3
sue 3
kid 3
montgomery's 2
representing 2
prance-about 2
grandmother 2
unconscious 2
passengers 2
absolutely 2
artificial 2
ridiculous 2
watermelon 2
everywhere 2
beep-beep 2
beautiful 2
yesterday 2
carefully 2
listening 2
community 2
companies 2
statement 2
important 2
high-five 2
sunflower 2
different 2
valuable 2
jeanette 2
millions 2
frosting 2
keychain 2
evidence 2
anywhere 2
yourself 2
buzzwell 2
princess 2
antennae 2
tomorrow 2
complete 2
attorney 2
decision 2
security 2
without 2
antonio 2
anybody 2
example 2
victory 2
distant 2
tonight 2
yelling 2
italian 2
opening 2
pinhead 2
disease 2
reverse 2
history 2
finally 2
usually 2
picking 2
striped 2
hexagon 2
degrees 2
lawyers 2
perfect 2
airport 2
already 2
bee-ish 2
matters 2
excited 2
looking 2
honey's 2
flayman 2
heating 2
kidding 2
engines 2
cricket 2
weather 2
between 2
cooling 2
balloon 2
begins 2
triple 2
police 2
remove 2
layton 2
almost 2
gotten 2
wasn't 2
worked 2
attack 2
school 2
golden 2
tennis 2
status 2
headed 2
grabby 2
forget 2
except 2
inside 2
common 2
anyone 2
cannot 2
mayday 2
stolen 2
visual 2
dating 2
called 2
reason 2
skills 2
sticks 2
lawyer 2
losing 2
change 2
report 2
sports 2
cousin 2
freeze 2
what'd 2
closed 2
scared 2
recall 2
he'll 2
moose 2
after 2
yours 2
how'd 2
pilot 2
cause 2
times 2
dying 2
homes 2
twice 2
camps 2
whose 2
comes 2
stage 2
under 2
legal 2
creep 2
sense 2
stall 2
blade 2
waste 2
ideas 2
patch 2
y'all 2
wants 2
enjoy 2
gusty 2
tight 2
seems 2
chung 2
hands 2
saved 2
guest 2
least 2
crumb 2
learn 2
stunt 2
moved 2
miles 2
years 2
speak 2
royal 2
pages 2
rings 2
taken 2
larry 2
catch 2
wrong 2
drain 2
which 2
needs 2
piece 2
skill 2
vogue 2
candy 2
earth 2
scene 2
ma'am 2
storm 2
venom 2
magic 2
dress 2
half 2
lint 2
size 2
blue 2
wish 2
room 2
hate 2
land 2
pack 2
wasp 2
full 2
away 2
tiny 2
glad 2
jump 2
mine 2
find 2
many 2
five 2
felt 2
lost 2
year 2
neck 2
tone 2
jars 2
body 2
took 2
slow 2
kick 2
shop 2
crud 2
give 2
carl 2
card 2
king 2
most 2
died 2
gets 2
deal 2
eyes 2
0900 2
seen 2
blew 2
ones 2
copy 2
blow 2
hair 2
said 2
ten 2
hat 2
die 2
use 2
met 2
end 2
nah 2
aim 2
row 2
eye 2
ask 2
run 2
jfk 2
fat 2
win 2
san 2
set 2
six 2
sky 2
fun 2
box 2
old 2
sun 2
bug 2
27 2
30 2
tv 2
motion-picture-capture 1
27-million-year-old 1
bubble-contoured 1
color-corrected 1
stress-testing 1
koo-koo-kachoo 1
scent-adjusted 1
billion-dollar 1
semi-automatic 1
circumstances 1
distinguished 1
ventriloquism 1
late-breaking 1
unfortunately 1
incapacitated 1
blood-sucking 1
repollination 1
flabbergasted 1
automatically 1
incorporating 1
glorification 1
multinational 1
disconcerting 1
illegitimate 1
stem-suckers 1
bee-free-ers 1
specifically 1
unbelievable 1
build-a-bear 1
garnishments 1
seventy-five 1
relationship 1
bee-approved 1
collectively 1
vanderhayden 1
mooseblood's 1
bee-negative 1
information 1
concentrate 1
documentary 1
attendant's 1
shenanigans 1
distinctive 1
coordinator 1
topsy-turvy 1
contraption 1
holographic 1
destruction 1
candy-brain 1
authorities 1
advancement 1
appropriate 1
grasshopper 1
honeyburton 1
unnecessary 1
individuals 1
haphazardly 1
understands 1
celebrating 1
insect-like 1
interesting 1
functioning 1
competition 1
suspenseful 1
orientation 1
technically 1
inflatable 1
graduation 1
whatsoever 1
graduating 1
backhand's 1
sugar-free 1
considered 1
industries 1
girlfriend 1
interested 1
discussing 1
ceremonies 1
impossible 1
vegetables 1
pincushion 1
possession 1
chopsticks 1
mattresses 1
one-eighth 1
legitimate 1
diabolical 1
attempting 1
exploiting 1
california 1
incredible 1
bad-breath 1
perversion 1
stinging's 1
no-account 1
exhausting 1
conspiracy 1
chemical-y 1
devilishly 1
mooseblood 1
sweetheart 1
sweeteners 1
washington 1
disturbing 1
guatemalan 1
businesses 1
remodeling 1
supervisor 1
employment 1
developing 1
supporting 1
restricted 1
denouncing 1
completely 1
constantly 1
timberland 1
downstairs 1
compelling 1
hitchhiked 1
aftertaste 1
settlement 1
tri-county 1
micrograms 1
beekeepers 1
top-secret 1
adrenaline 1
suspenders 1
overworked 1
hallelujah 1
dustbuster 1
technology 1
surrounded 1
cannonball 1
cafeteria 1
rehearsal 1
barricade 1
concludes 1
predicted 1
stickball 1
pollinate 1
bothering 1
associate 1
inspector 1
fantastic 1
perfectly 1
situation 1
pointless 1
anxiously 1
manhattan 1
bumbleton 1
suspicion 1
lifesaver 1
la-dee-da 1
emotional 1
returning 1
hollywood 1
correctly 1
beekeeper 1
goodfella 1
presiding 1
our-ganic 1
difficult 1
dangerous 1
psychotic 1
celebrate 1
profiting 1
breakfast 1
privilege 1
ourselves 1
nicknames 1
hospitals 1
existence 1
according 1
advantage 1
virtually 1
happening 1
qualities 1
deadified 1
keychains 1
shoulders 1
decisions 1
positions 1
amusement 1
honorable 1
lawsuit's 1
lightning 1
intrigues 1
screaming 1
chapstick 1
autograph 1
presented 1
negotiate 1
attention 1
compadres 1
vacations 1
interview 1
panicking 1
collector 1
reporting 1
obviously 1
packaging 1
florist's 1
attracted 1
honeybees 1
autopilot 1
dismissal 1
illegally 1
somewhere 1
surprised 1
pulsating 1
full-hour 1
buzzy-boy 1
objection 1
creatures 1
briefcase 1
nightmare 1
dragonfly 1
inclusion 1
murphy's 1
circular 1
combined 1
tweezers 1
realized 1
hercules 1
magazine 1
approach 1
bringing 1
shutting 1
question 1
reminder 1
babbling 1
counting 1
intended 1
machines 1
arousing 1
daffodil 1
bluffing 1
petunias 1
slapping 1
doctored 1
disaster 1
imagines 1
quadrant 1
terrific 1
athletic 1
wrangler 1
aviation 1
forcibly 1
consider 1
shutdown 1
jealousy 1
tolerate 1
stingers 1
casually 1
monkey's 1
robotics 1
grateful 1
business 1
happiest 1
pinheads 1
possibly 1
occasion 1
cinnamon 1
flowered 1
brazenly 1
division 1
supplier 1
wizardry 1
products 1
position 1
handsome 1
industry 1
travolta 1
instinct 1
surprise 1
campaign 1
soothing 1
interest 1
aborting 1
fold-out 1
parasite 1
comrades 1
favorite 1
believed 1
wherever 1
tea-time 1
honeybee 1
anyone's 1
building 1
coursing 1
silkworm 1
graduate 1
invented 1
sprinkle 1
crashing 1
controls 1
official 1
dreaming 1
helpless 1
sleeping 1
cheering 1
father's 1
scariest 1
restroom 1
weakness 1
goodness 1
bouquets 1
pathetic 1
students 1
lifetime 1
nicotine 1
churning 1
assuming 1
cinnabon 1
downtown 1
buttocks 1
relieved 1
sandwich 1
dynamite 1
trickery 1
familiar 1
blacktop 1
antennas 1
mustache 1
rehearse 1
advisory 1
ordinary 1
scramble 1
columbus 1
man-made 1
hundreds 1
mushroom 1
squirrel 1
stopping 1
starting 1
overcome 1
addicted 1
exploded 1
previous 1
calories 1
superior 1
steroids 1
children 1
monsters 1
spitting 1
knocking 1
britches 1
greatest 1
nauseous 1
harmless 1
kenneth 1
reports 1
savages 1
society 1
nowhere 1
proceed 1
schools 1
coolest 1
produce 1
wilting 1
traffic 1
improve 1
frankie 1
respond 1
lovable 1
meeting 1
hothead 1
humming 1
coaster 1
hitting 1
battery 1
fashion 1
needing 1
tension 1
playing 1
newbies 1
bugging 1
provide 1
today's 1
planned 1
glasses 1
survive 1
initial 1
minutes 1
percent 1
heaving 1
neither 1
bee-men 1
wedding 1
compete 1
putting 1
faculty 1
session 1
company 1
madison 1
ecstasy 1
affects 1
explain 1
copilot 1
royalty 1
balance 1
clients 1
onboard 1
goodbye 1
legally 1
machine 1
evening 1
cloning 1
stingin 1
exactly 1
witness 1
pulling 1
stripes 1
stripey 1
benefit 1
pointed 1
funeral 1
panicky 1
awkward 1
whassup 1
trimmer 1
elected 1
organic 1
court's 1
removal 1
formula 1
forever 1
dressed 1
culture 1
covered 1
colored 1
instead 1
baby'll 1
gallons 1
charges 1
science 1
warming 1
top-ten 1
private 1
mistake 1
happens 1
college 1
crossed 1
sleeves 1
pouring 1
rookies 1
awfully 1
catches 1
driving 1
pillows 1
blossom 1
where's 1
sweater 1
squinty 1
mystery 1
choices 1
belated 1
officer 1
blinked 1
imagine 1
leaving 1
roaches 1
doggone 1
stellar 1
greater 1
depends 1
suicide 1
pattern 1
protect 1
cockpit 1
hottest 1
kingdom 1
luckily 1
breathe 1
breaths 1
trained 1
capable 1
packing 1
perhaps 1
animals 1
surface 1
weekend 1
century 1
washers 1
marshal 1
turmoil 1
control 1
mission 1
daisies 1
elastic 1
missile 1
spiders 1
suppose 1
valiant 1
support 1
changes 1
natural 1
they'll 1
women's 1
honesco 1
emotion 1
massive 1
growing 1
barrier 1
ignacio 1
bye-bye 1
intends 1
clothes 1
motels 1
temper 1
result 1
gandhi 1
lights 1
eating 1
ruined 1
versus 1
loving 1
shorts 1
meadow 1
jammed 1
jell-o 1
doctor 1
stinks 1
crowds 1
events 1
giving 1
celery 1
excuse 1
latest 1
source 1
paying 1
actual 1
assume 1
jewish 1
harrys 1
vannie 1
center 1
genius 1
studio 1
ninety 1
unholy 1
floral 1
slaves 1
sugars 1
bright 1
helmet 1
fiasco 1
rookie 1
barely 1
flames 1
sounds 1
nicest 1
granny 1
killer 1
partly 1
taught 1
borrow 1
absurd 1
signal 1
planet 1
thomas 1
passed 1
winged 1
action 1
bounty 1
hoping 1
toupee 1
nerves 1
health 1
rotate 1
tacoma 1
turtle 1
belong 1
poodle 1
quotes 1
myself 1
animal 1
global 1
unless 1
though 1
gordon 1
pinned 1
needed 1
father 1
knocks 1
nickel 1
jury's 1
employ 1
movies 1
gnarly 1
tattoo 1
theory 1
church 1
across 1
hockey 1
prefer 1
them's 1
smelly 1
smells 1
slogan 1
j-gate 1
winter 1
cloudy 1
aiming 1
alaska 1
moving 1
detail 1
throat 1
aspect 1
agreed 1
finish 1
puddle 1
fozzie 1
choose 1
strand 1
career 1
rumors 1
classy 1
idiots 1
surf's 1
mighty 1
roller 1
remind 1
stores 1
anchor 1
pointy 1
sumner 1
insect 1
runway 1
name's 1
saying 1
harder 1
korean 1
martin 1
queens 1
cheese 1
thorax 1
letter 1
fruits 1
brooms 1
poison 1
stripe 1
bedbug 1
museum 1
impose 1
leader 1
poured 1
issues 1
brooch 1
damage 1
hotter 1
simple 1
earned 1
opened 1
ball's 1
strive 1
profit 1
honron 1
deck's 1
pourer 1
cicada 1
former 1
strong 1
affect 1
yowser 1
busted 1
spider 1
stairs 1
felled 1
rhythm 1
tarmac 1
select 1
divine 1
freaks 1
wooden 1
equals 1
cotton 1
kasell 1
office 1
photos 1
faster 1
floats 1
raised 1
nation 1
iguana 1
pierce 1
laying 1
launch 1
symbol 1
biting 1
loaded 1
klauss 1
mama's 1
normal 1
vibram 1
lauren 1
this's 1
hector 1
drapes 1
person 1
ground 1
beards 1
regret 1
riding 1
filthy 1
player 1
motion 1
hive's 1
follow 1
intend 1
chips 1
bogus 1
ahead 1
minds 1
quiet 1
veins 1
faces 1
chill 1
laugh 1
son's 1
fatal 1
kenny 1
write 1
birth 1
razor 1
folds 1
walls 1
tower 1
marry 1
blows 1
house 1
freak 1
meant 1
sword 1
major 1
group 1
gross 1
fried 1
hurts 1
dated 1
fuzzy 1
clear 1
clean 1
hurry 1
finds 1
day's 1
shoes 1
ralph 1
straw 1
final 1
now's 1
pound 1
lunch 1
pitch 1
deady 1
cream 1
jesus 1
field 1
upset 1
eight 1
known 1
nurse 1
crime 1
liked 1
radio 1
likes 1
steps 1
heart 1
blend 1
puffs 1
mercy 1
spray 1
boots 1
dirty 1
mamma 1
treat 1
chute 1
seven 1
abort 1
allow 1
kills 1
knock 1
beast 1
shave 1
games 1
beams 1
birds 1
buddy 1
stink 1
voice 1
death 1
trade 1
weave 1
awful 1
saves 1
fairy 1
jerks 1
scott 1
weird 1
shack 1
bored 1
laser 1
lines 1
label 1
moves 1
m-80s 1
turns 1
tried 1
brave 1
judge 1
wanna 1
hairy 1
uncle 1
asked 1
sharp 1
flies 1
shake 1
woods 1
couch 1
using 1
man's 1
grade 1
white 1
worry 1
might 1
color 1
truck 1
lived 1
pinch 1
mouth 1
janet 1
larvi 1
it'll 1
waits 1
shirt 1
sides 1
heads 1
rumor 1
hangs 1
inner 1
alone 1
sheep 1
leans 1
favor 1
front 1
fella 1
angry 1
delay 1
plant 1
drive 1
tooth 1
actor 1
image 1
bee's 1
alert 1
class 1
syrup 1
fresh 1
carob 1
metal 1
begin 1
works 1
alive 1
bread 1
break 1
pants 1
angel 1
roger 1
anger 1
falls 1
limit 1
level 1
dream 1
mixed 1
total 1
uh-oh 1
lordy 1
story 1
snack 1
flush 1
tulip 1
proof 1
artie 1
force 1
south 1
brain 1
sound 1
wiper 1
scale 1
aware 1
match 1
dawg 1
wind 1
gold 1
wipe 1
sale 1
emmy 1
wrap 1
onto 1
gone 1
root 1
save 1
busy 1
says 1
wall 1
walk 1
pact 1
83rd 1
till 1
dogs 1
wars 1
wave 1
pain 1
paid 1
trap 1
tram 1
laws 1
tivo 1
meat 1
beer 1
milk 1
easy 1
term 1
dots 1
tail 1
meet 1
tale 1
test 1
bred 1
miss 1
2005 1
sole 1
mite 1
bent 1
sort 1
true 1
glow 1
best 1
bald 1
mama 1
band 1
mall 1
balm 1
fact 1
cute 1
star 1
lord 1
mass 1
bats 1
he'd 1
base 1
lose 1
stir 1
runs 1
pond 1
pomp 1
poor 1
farm 1
pool 1
toes 1
fast 1
spin 1
slat 1
slap 1
nine 1
pour 1
dude 1
gift 1
3000 1
spot 1
city 1
crew 1
boat 1
dumb 1
ring 1
cake 1
such 1
grab 1
suck 1
jazz 1
book 1
shot 1
rise 1
raft 1
care 1
born 1
moth 1
both 1
game 1
bowl 1
dean 1
fool 1
kite 1
kept 1
gate 1
drag 1
john 1
4475 1
knee 1
sign 1
deli 1
high 1
dada 1
lust 1
puff 1
amen 1
deny 1
yogi 1
seem 1
pure 1
road 1
hivo 1
cool 1
date 1
dash 1
dave 1
tuna 1
line 1
flew 1
god 1
tie 1
tin 1
paw 1
toe 1
pic 1
cry 1
tub 1
cup 1
cut 1
poo 1
24b 1
lip 1
hal 1
lou 1
huh 1
b's 1
men 1
356 1
mia 1
mom 1
van 1
ear 1
ray 1
ads 1
air 1
ant 1
jar 1
rum 1
non 1
wax 1
npr 1
far 1
few 1
sat 1
fit 1
bed 1
bet 1
won 1
ftd 1
100 1
118 1
key 1
bud 1
ooh 1
gel 1
tap 1
tar 1
cab 1
car 1
10 1
75 1
81 1
em 1
er 1
ma 1
ow 1
9 1
m 1
n 1
t 1
v 1

